"","event_smas_history_id","match","TOTAL.DISSOLVED.SOLIDS","SPECIFIC.CONDUCTANCE","event_smas_sample_date","US_L3CODE","US_L3NAME","NA_L3CODE","NA_L3NAME","NA_L2CODE","NA_L2NAME","NA_L1CODE","NA_L1NAME","STATE_NAME","EPA_REGION","L3_KEY","L2_KEY","L1_KEY","latitude","longitude"
"24","01-TONA-19.4","01-TONA-19.4_2019-04-17",273,441,2019-04-17,"83","Eastern Great Lakes Lowlands","8.1.1","Eastern Great Lakes Lowlands","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","New York",2,"83  Eastern Great Lakes Lowlands","8.1  MIXED WOOD PLAINS","8  EASTERN TEMPERATE FORESTS",43.095496,-78.638021
"25","01-TONA-19.4","01-TONA-19.4_2019-06-13",421,682,2019-06-13,"83","Eastern Great Lakes Lowlands","8.1.1","Eastern Great Lakes Lowlands","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","New York",2,"83  Eastern Great Lakes Lowlands","8.1  MIXED WOOD PLAINS","8  EASTERN TEMPERATE FORESTS",43.095496,-78.638021
"26","01-TONA-19.4","01-TONA-19.4_2019-08-15",569,892,2019-08-15,"83","Eastern Great Lakes Lowlands","8.1.1","Eastern Great Lakes Lowlands","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","New York",2,"83  Eastern Great Lakes Lowlands","8.1  MIXED WOOD PLAINS","8  EASTERN TEMPERATE FORESTS",43.095496,-78.638021
"27","01-TONA-19.4","01-TONA-19.4_2019-10-21",430,1256,2019-10-21,"83","Eastern Great Lakes Lowlands","8.1.1","Eastern Great Lakes Lowlands","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","New York",2,"83  Eastern Great Lakes Lowlands","8.1  MIXED WOOD PLAINS","8  EASTERN TEMPERATE FORESTS",43.095496,-78.638021
"28","01-TONA-92.9","01-TONA-92.9_2001-07-02",244,377,2001-07-02,"60","Northern Allegheny Plateau","8.1.3","Northern Allegheny Plateau","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","New York",2,"60  Northern Allegheny Plateau","8.1  MIXED WOOD PLAINS","8  EASTERN TEMPERATE FORESTS",42.79195,-78.31841
"29","01-YUGA-3.9","01-YUGA-3.9_2001-07-03",696,1164,2001-07-03,"83","Eastern Great Lakes Lowlands","8.1.1","Eastern Great Lakes Lowlands","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","New York",2,"83  Eastern Great Lakes Lowlands","8.1  MIXED WOOD PLAINS","8  EASTERN TEMPERATE FORESTS",42.88333,-78.75652
"30","02-ALGY-20.3","02-ALGY-20.3_2012-07-19",142,279,2012-07-19,"62","North Central Appalachians","5.3.3","North Central Appalachians","5.3","ATLANTIC HIGHLANDS","5","NORTHERN FORESTS","New York",2,"62  North Central Appalachians","5.3  ATLANTIC HIGHLANDS","5  NORTHERN FORESTS",42.15716,-78.71793
"31","02-ALGY-20.3","02-ALGY-20.3_2018-04-16",67,12.8,2018-04-16,"62","North Central Appalachians","5.3.3","North Central Appalachians","5.3","ATLANTIC HIGHLANDS","5","NORTHERN FORESTS","New York",2,"62  North Central Appalachians","5.3  ATLANTIC HIGHLANDS","5  NORTHERN FORESTS",42.15716,-78.71793
"32","02-ALGY-20.3","02-ALGY-20.3_2018-06-13",110,198,2018-06-13,"62","North Central Appalachians","5.3.3","North Central Appalachians","5.3","ATLANTIC HIGHLANDS","5","NORTHERN FORESTS","New York",2,"62  North Central Appalachians","5.3  ATLANTIC HIGHLANDS","5  NORTHERN FORESTS",42.15716,-78.71793
"33","02-ALGY-20.3","02-ALGY-20.3_2018-08-14",119,196.4,2018-08-14,"62","North Central Appalachians","5.3.3","North Central Appalachians","5.3","ATLANTIC HIGHLANDS","5","NORTHERN FORESTS","New York",2,"62  North Central Appalachians","5.3  ATLANTIC HIGHLANDS","5  NORTHERN FORESTS",42.15716,-78.71793
