LAKE_HISTORY_ID,LOCATION_HISTORY_ID,MUNICIPALITY,DEC_REGION,DEC_REGION,LOCATION_PWL_ID,LOCATION_NAME,LOCATION_TYPE,LOCATION_X_COORDINATE,LOCATION_Y_COORDINATE,LOCATION_HORIZONTAL_METHOD,LOCATION_HORIZONTAL_DATUM,LOCATION_WATERBODY_CLASSIFICATION,MAJOR_BASIN_ID,US_L3CODE,US_L3NAME,NA_L3CODE,NA_L3NAME,NA_L2CODE,NA_L2NAME,NA_L1CODE,NA_L1NAME,STATE_NAME,EPA_REGION,L3_KEY,L2_KEY,L1_KEY
0201ALM5535,0201ALM5535_C,Alma,9,Allegany,0201-0073,ALMA POND CENTROID,CENTROID,-78.001404,42.014099,INTERPOLATION-OTHER,NAD83,C,2,62,North Central Appalachians,5.3.3,North Central Appalachians,5.3,ATLANTIC HIGHLANDS,5,NORTHERN FORESTS,New York,3,62  North Central Appalachians,5.3  ATLANTIC HIGHLANDS,5  NORTHERN FORESTS
0201CAS0109C,0201CAS0109C_C,Franklinville,9,Cattaraugus,0201-0020,CASE LAKE CENTROID,CENTROID,-78.440697,42.324402,INTERPOLATION-OTHER,NAD83,C(T),2,60,Northern Allegheny Plateau,8.1.3,Northern Allegheny Plateau,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,New York,2,60  Northern Allegheny Plateau,8.1  MIXED WOOD PLAINS,8  EASTERN TEMPERATE FORESTS
0201CUB0115,0201CUB0115_C,Cuba,9,Allegany,0201-0016,CUBA LAKE CENTROID,CENTROID,-78.292801,42.253399,INTERPOLATION-OTHER,NAD83,B,2,60,Northern Allegheny Plateau,8.1.3,Northern Allegheny Plateau,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,New York,2,60  Northern Allegheny Plateau,8.1  MIXED WOOD PLAINS,8  EASTERN TEMPERATE FORESTS
0201LIN0097A,0201LIN0097A_C,New Albion,9,Cattaraugus,0201-0035,LINLYCO LAKE CENTROID,CENTROID,-78.830498,42.273102,INTERPOLATION-OTHER,NAD83,B(T),2,60,Northern Allegheny Plateau,8.1.3,Northern Allegheny Plateau,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,New York,2,60  Northern Allegheny Plateau,8.1  MIXED WOOD PLAINS,8  EASTERN TEMPERATE FORESTS
0201RED0095B,0201RED0095B_C,Red House,9,Cattaraugus,0201-0033,RED HOUSE LAKE CENTROID,CENTROID,-78.744598,42.102798,INTERPOLATION-OTHER,NAD83,B,2,62,North Central Appalachians,5.3.3,North Central Appalachians,5.3,ATLANTIC HIGHLANDS,5,NORTHERN FORESTS,New York,3,62  North Central Appalachians,5.3  ATLANTIC HIGHLANDS,5  NORTHERN FORESTS
0202AIRXXX1,0202AIRXXX1_C,Mina,9,Chautauqua,NA,AIRPORT POND CENTROID,CENTROID,-79.685773,42.147432,INTERPOLATION-OTHER,NAD83,NA,2,61,Erie Drift Plain,8.1.10,Erie Drift Plain,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,New York,5,61  Erie Drift Plain,8.1  MIXED WOOD PLAINS,8  EASTERN TEMPERATE FORESTS
0202BEA0131,0202BEA0131_C,Stockton,9,Chautauqua,0202-0008,BEAR LAKE CENTROID,CENTROID,-79.383904,42.346802,INTERPOLATION-OTHER,NAD83,A,2,61,Erie Drift Plain,8.1.10,Erie Drift Plain,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,New York,5,61  Erie Drift Plain,8.1  MIXED WOOD PLAINS,8  EASTERN TEMPERATE FORESTS
0202CHA0122,0202CHA0122_C,Ellery,9,Chautauqua,0202-0072,CHAUTAUQUA LAKE CENTROID,CENTROID,-79.4385,42.202801,INTERPOLATION-OTHER,NAD83,A,2,61,Erie Drift Plain,8.1.10,Erie Drift Plain,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,New York,5,61  Erie Drift Plain,8.1  MIXED WOOD PLAINS,8  EASTERN TEMPERATE FORESTS
0202CLY0150,0202CLY0150_C,Clymer,9,Chautauqua,0202-0079,CLYMER POND CENTROID,CENTROID,-79.626503,42.0149,INTERPOLATION-OTHER,NAD83,C,2,61,Erie Drift Plain,8.1.10,Erie Drift Plain,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,New York,5,61  Erie Drift Plain,8.1  MIXED WOOD PLAINS,8  EASTERN TEMPERATE FORESTS
0202FIN0153,0202FIN0153_C,Mina,9,Chautauqua,0202-0004,FINDLEY LAKE CENTROID,CENTROID,-79.726196,42.101898,INTERPOLATION-OTHER,NAD83,B,2,61,Erie Drift Plain,8.1.10,Erie Drift Plain,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,New York,5,61  Erie Drift Plain,8.1  MIXED WOOD PLAINS,8  EASTERN TEMPERATE FORESTS
0202LCA0133,0202LCA0133_C,Stockton,9,Chautauqua,0202-0003,LOWER CASSADAGA LAKE CENTROID,CENTROID,-79.317299,42.345501,INTERPOLATION-OTHER,NAD83,B,2,61,Erie Drift Plain,8.1.10,Erie Drift Plain,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,New York,5,61  Erie Drift Plain,8.1  MIXED WOOD PLAINS,8  EASTERN TEMPERATE FORESTS
0202LEOXXX1,0202LEOXXX1_C,Sherman,9,Chautauqua,NA,LEO MORGAN WILDLIFE POND CENTROID,CENTROID,-79.5447,42.086201,INTERPOLATION-OTHER,NAD83,NA,2,61,Erie Drift Plain,8.1.10,Erie Drift Plain,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,New York,5,61  Erie Drift Plain,8.1  MIXED WOOD PLAINS,8  EASTERN TEMPERATE FORESTS
0202MCA0135,0202MCA0135_C,Stockton,9,Chautauqua,0202-0002,MIDDLE CASSADAGA LAKE CENTROID,CENTROID,-79.325798,42.346699,INTERPOLATION-OTHER,NAD83,C,2,61,Erie Drift Plain,8.1.10,Erie Drift Plain,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,New York,5,61  Erie Drift Plain,8.1  MIXED WOOD PLAINS,8  EASTERN TEMPERATE FORESTS
0202NEW5669,0202NEW5669_C,New Albion,9,Cattaraugus,0202-0080,NEW ALBION LAKE CENTROID,CENTROID,-78.909698,42.299801,INTERPOLATION-OTHER,NAD83,C(T),2,60,Northern Allegheny Plateau,8.1.3,Northern Allegheny Plateau,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,New York,2,60  Northern Allegheny Plateau,8.1  MIXED WOOD PLAINS,8  EASTERN TEMPERATE FORESTS
0202UCA0136,0202UCA0136_C,Pomfret,9,Chautauqua,0202-0001,UPPER CASSADAGA LAKE CENTROID,CENTROID,-79.3256,42.357399,INTERPOLATION-OTHER,NAD83,B,2,61,Erie Drift Plain,8.1.10,Erie Drift Plain,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,New York,5,61  Erie Drift Plain,8.1  MIXED WOOD PLAINS,8  EASTERN TEMPERATE FORESTS
0202UWB5366,0202UWB5366_C,Randolph,9,Cattaraugus,0202-0078,UNNAMED WATER CENTROID,CENTROID,-78.953102,42.101601,INTERPOLATION-OTHER,NAD83,C(T),2,62,North Central Appalachians,5.3.3,North Central Appalachians,5.3,ATLANTIC HIGHLANDS,5,NORTHERN FORESTS,New York,3,62  North Central Appalachians,5.3  ATLANTIC HIGHLANDS,5  NORTHERN FORESTS
