"LAKE_HISTORY_ID","LOCATION_X_COORDINATE","LOCATION_Y_COORDINATE"
"1201SUG0472",-73.6978,42.788502
"1201UWB0503",-73.808701,42.845901
"1201UWB0706",-74.857696,43.145599
"1201UWB0940A",-75.028603,42.986099
"1201UWB5549",-73.697502,42.755901
"1201UWBXXX3",-75.25609754,42.98511354
"1201VAN0689",-74.360802,43.119499
"1202BLE0630A",-74.454201,42.4431
"1202COB0583",-74.443603,42.664299
"1202COL0649",-74.119797,42.2355
"1202ECH0605",-74.193901,42.708198
"1202ENG0589",-74.652298,42.757
"1202HEL0647A",-74.214104,42.3433
"1202MAL0615A",-74.520599,42.586899
"1202OND0608",-74.0849,42.544201
"1202RIP0656A",-74.127602,42.191601
"1202SIL0647B",-74.167297,42.325802
"1202SUM0629",-74.581497,42.583198
"1202TAN0655D",-74.159698,42.2113
"1202UBL0630B",-74.427696,42.4436
"1202UWB0579",-74.3601,42.711601
"1202UWB0579A",-74.365799,42.715599
"1202UWB0589A",-74.647797,42.760101
"1202UWB5180",-74.046501,42.623001
"1202WAR0609",-74.079102,42.625099
"1202WOO0605D",-74.1828,42.567299
"1203DEE0911",-74.761902,43.554699
"1203GLA0859",-74.634003,43.414501
"1203HIN0799",-75.073601,43.3326
"1203MET0821",-74.719803,43.2995
"1203THE0850A",-74.704102,43.400799
"1203UWB0798E",-75.1492,43.266602
"1301BAR0181",-73.812698,41.359501
"1301BOG0200",-74.013,41.387402
"1301BUR0386B",-73.56922,42.60474
"1301BUR0386C",-73.561401,42.5947
"1301CAN0168A",-73.835297,41.456501
"1301CHA0341A",-74.068802,41.565201
"1301CHO0437",-73.983803,41.772701
"1301COX6780",-73.8778,42.4076
"1301CRO1033",-73.961998,40.785999
"1301CRY0391",-73.555298,42.639999
"1301DYK0445",-73.426102,42.7234
"1301ESO0434",-73.969704,41.876598
"1301HAM0297",-73.726402,42.617001
"1301HAR1036",-73.951202,40.796101
"1301HEL0207A",-74.014801,42.599602
"1301LAW0207",-73.9599,42.539101
"1301LIT0355",-73.741203,42.697399
"1301LON0428",-73.438698,42.792099
"1301MEL0331",-73.9673,41.472099
"1301MIR0433",-73.9701,41.867001
"1301MORXXX1",-73.958943,40.803761
"1301POC0030",-73.830299,41.1236
"1301POP0191",-74.057404,41.354599
"1301PUD5194",-73.789398,41.442902
"1301REN0336",-73.838097,42.6987
"1301ROA0183B",-73.807503,41.438801
"1301SLE6666",-73.8069,42.294399
"1301STI0187A",-74.0392,41.345901
"1301TAR0015A",-73.842003,41.082401
"1301THE1027",-73.974098,40.765999
"1301THE1029",-73.972603,40.776501
"1301THE1034",-73.961197,40.794701
"1301TIV0309",-73.761498,42.670299
"1301UWB0420B",-73.8974,41.7412
"1301UWB1031",-73.9674,40.779301
"1301VLY0262A",-73.955597,42.612
"1301WIC0183A",-73.822899,41.424999
"1302CAR0062A",-73.665001,41.4585
"1302CAS0059B",-73.709999,41.386299
"1302HEM0103H",-73.561096,41.309601
"1302PAL0061A",-73.673401,41.438702
"1302PUT0093B",-73.539597,41.4664
"1302TON0085",-73.610901,41.4217
"1302WHI0079",-73.723396,41.500999
"1303BRO0226A",-74.0868,41.474098
"1303GOSXXX1",-74.33183,41.38234
"1303ORA0239D",-74.191803,41.339401
"1303TOM0240D",-74.223396,41.409199
"1303WAL0257",-74.222504,41.306999
"1303WAS0225",-74.069199,41.491901
"1304BEA0345A",-73.882599,41.490398
"1304FUR0356",-73.696602,41.642601
"1304NUC5222",-73.645599,41.598202
"1305COL0404",-73.7108,41.915901
"1305HUN0403",-73.647598,41.903
"1305MUD0410",-73.671501,41.979099
"1305SIL0378",-73.803299,41.915699
"1305UPT0384",-73.752998,41.8475
"1305WAP0365",-73.916496,41.605801
"1306BIN0735",-74.551201,41.410301
"1306GLE0668",-74.337097,41.326199
"1306HIG0492",-74.4813,41.451698
"1306KINXXX1",-74.5436,41.434
"1306MIL0515",-74.535301,41.4389
"1306MON0598",-74.454201,41.458401
"1306SHA0491",-74.5009,41.445702
"1306SIL0807",-74.554199,41.701599
"1306STU0453A",-74.042602,41.843601
"1306UWB6107",-74.275299,41.538799
"1306WIC0698",-74.2948,41.281898
"1308WILXXX1A",-73.727661,41.955585
